experiment,arm,seed,outcome,inflation_annual_final,gdp_growth_mean,unemployment_final,approval_final,stability_min,reserves_min,authority_violations,perception_gap_mean,agreements_broken,election_winner,election_turnover
fiscal_rule,base__c_f=0.08__primary_spending=23,18,defeated,-11.361512828387077,-2.4664681996386073,16.401911869603943,39.720355203654336,52.157781565880605,8237.011570250372,0,0.6702708333333334,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=23,19,defeated,-11.361512828387077,-2.589468171070133,16.434976505755294,44.15101297619233,33.55586166543035,8000.756486624977,0,0.7760416666666666,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=25,0,defeated,-11.125072803410951,-1.702553098935943,15.248268143524685,44.37642756284873,46.1462404542114,8210.73596077652,0,0.7163958333333333,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=25,1,defeated,-11.361512828387077,-1.9857370999591797,16.110081396567654,43.22667076962542,44.89088932268571,6646.204128433683,0,0.6835833333333333,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=25,2,defeated,-11.361512828387077,-2.1647939307997657,15.604036026409359,46.48652614699373,46.703715529215415,8310.347195549552,0,0.7609375,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=25,3,defeated,10.397762387904574,-0.08175154175562847,12.709835309434379,44.25574053808936,45.64670916767983,3416.6366962773736,0,0.7563958333333334,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=25,4,defeated,-10.25750610149182,-1.7683717317619791,15.461521218779154,46.05409988992759,45.38718644703339,8189.424337989678,0,0.8296875,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=25,5,defeated,-11.361512828387077,-1.3907198543378823,15.253059465969239,44.58833238555713,49.63971690937119,5276.439011834581,0,0.78075,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=25,6,defeated,-11.361512828387077,-2.0372289509721773,15.714091481866685,45.17572277681898,42.30349934836461,7718.885827722579,0,0.9287083333333334,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=25,7,defeated,-11.361512828387077,-1.1528490994810774,14.425799898746895,44.34198719000696,49.92402808044304,8172.318655380892,0,0.708375,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=25,8,defeated,-11.202996164771706,-2.0785585732685097,15.602975464845613,43.75849623896848,46.891370553971726,7405.128144637396,0,0.8991875,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=25,9,defeated,-11.361512828387077,-1.5019033517629288,14.799855183775136,43.505464228006275,36.38295312913692,7424.187677798978,0,0.8990416666666666,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=25,10,defeated,-11.361512828387077,-1.6506315465329195,15.435425201807156,44.24651620361799,37.96349448404902,8103.160734832551,0,0.8063958333333333,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=25,11,defeated,-11.361512828387077,-1.4534613436369919,14.886621315638978,41.24674316543909,50.23681234735797,7934.255620150726,0,0.76575,0,union_republicana,True
fiscal_rule,base__c_f=0.08__primary_spending=25,12,defeated,-4.109722062450549,-1.4178161641346478,15.422419901854358,41.364735370500426,43.18090057109531,7488.896384193362,0,0.8906875,0,union_republicana,True
