group,level,seed,medium_of_exchange,emergence_turn,herfindahl_intermediates,indirect_trade_share,mean_deprivation,inventory_gini
main,,52,conchas,77,0.2545576006730052,0.10350088656137892,5.33247,0.24122271976802556
main,,53,conchas,52,0.2368108104175913,0.11080521388809275,5.3268949999999995,0.2454309382785683
main,,54,conchas,64,0.22766406693844285,0.11795510608829628,5.333825000000001,0.24411014538275363
main,,55,conchas,60,0.2395419246721743,0.10140973169622555,5.34774,0.2433560473701195
main,,56,conchas,74,0.22989097217722063,0.1110461922161276,5.31279,0.2473845419987147
main,,57,conchas,77,0.24513528837312168,0.09871047475018498,5.33746,0.24426506632958037
main,,58,conchas,57,0.2350389778659484,0.11978016251297818,5.335235,0.2481207078361064
main,,59,conchas,72,0.23653300586985185,0.10890692526615368,5.33237,0.24426583302475544
main,,6,conchas,65,0.2515788540015775,0.09183720940067922,5.3294500000000005,0.2437097884749446
main,,60,conchas,62,0.24645996976817555,0.10206592651940025,5.347215,0.2438597795690087
main,,61,conchas,60,0.2420818283920826,0.11526822337633148,5.33048,0.24588251639721573
main,,62,conchas,64,0.24990743252804548,0.10538736087412533,5.363575,0.24120446832364056
main,,63,conchas,64,0.23777263062118828,0.10532188152191363,5.3518349999999995,0.24288274860568426
main,,64,conchas,64,0.2543999687972611,0.10462825070624691,5.335185,0.24187931248386016
main,,65,conchas,58,0.2406814489967032,0.1176578429262616,5.34875,0.24349729026204645
main,,66,conchas,65,0.23743557578026755,0.10884479212192413,5.36101,0.24270189410981025
main,,67,conchas,52,0.23922731746545128,0.10131223786387608,5.329815,0.2432030037523427
main,,68,conchas,65,0.23635444826645274,0.11093011163289514,5.3469299999999995,0.2441928007163299
main,,69,conchas,64,0.2435663754918261,0.1058664123231091,5.33906,0.24485957003992634
main,,7,conchas,64,0.24497982053621276,0.11133295537643685,5.336915,0.24570213604426364
main,,70,conchas,64,0.24037925090729778,0.11238128102141455,5.353585000000001,0.24181333665015273
main,,71,conchas,68,0.2539576680226942,0.0997108184217505,5.326165,0.24156806244404067
main,,72,conchas,64,0.2417095710568096,0.09903851292190949,5.33409,0.24398260657111984
main,,73,conchas,64,0.23737758247830976,0.10892710201498049,5.33443,0.2428348773178416
main,,74,conchas,64,0.2500007350868181,0.10640145746567402,5.34472,0.24260653050657596
main,,75,conchas,65,0.23362446796595843,0.11734742530197076,5.35793,0.24350935138112206
main,,76,conchas,65,0.23741406109626093,0.11473693326300376,5.35521,0.24519355796704212
main,,77,conchas,64,0.2480486613659134,0.1085771915348218,5.3586800000000006,0.24375658517548382
main,,78,conchas,65,0.2406215387347861,0.10921638412657352,5.34717,0.24743127999939687
main,,79,conchas,64,0.2325966138086036,0.11062694160081729,5.33701,0.24308917131094468
main,,8,conchas,65,0.2336443271865303,0.10819969298102361,5.35276,0.2429385957256341
main,,80,conchas,74,0.23719598780787102,0.10656798878535499,5.334535,0.24440860166708986
main,,81,conchas,64,0.23726339081309683,0.1220020979354408,5.359120000000001,0.24333257833442573
main,,82,conchas,64,0.2433304361087544,0.11422742899206716,5.356375000000001,0.24376847449279387
main,,83,conchas,53,0.24089403902737713,0.12175375453448647,5.33682,0.2437252196436025
main,,84,conchas,64,0.2423661364798985,0.10482436866768244,5.33563,0.24518528326609565
main,,85,conchas,84,0.2326075219266142,0.1129913385732093,5.3590800000000005,0.24483768272066908
main,,86,conchas,68,0.2407372463383286,0.1145083956988901,5.351165,0.24380780699105636
main,,87,conchas,65,0.23499752593383108,0.10460568703652787,5.331655,0.2445236890211286
